drug_name,reaction,pair_count,ROR,p_value,max_cusum,alert_quarters,cusum_signal,max_ewma,ewma_signal,confidence_score,confidence_label
humira,Thyroid hormones increased,49,7.68,5.28e-30,,,False,,False,1,Low — ROR only
humira,Cardioversion,58,7.66,2.7e-35,,,False,,False,1,Low — ROR only
humira,Post-traumatic stress disorder,465,7.66,2.59e-275,,,False,,False,1,Low — ROR only
humira,Nonspecific reaction,109,7.65,2.23e-65,,,False,,False,1,Low — ROR only
humira,Aortic dissection,34,7.64,5.34e-21,,,False,,False,1,Low — ROR only
humira,Gastrectomy,133,7.6,4.2700000000000006e-79,,,False,,False,1,Low — ROR only
humira,Narcolepsy,36,7.58,4.56e-22,,,False,,False,1,Low — ROR only
humira,Portal hypertensive gastropathy,45,7.58,2.2700000000000002e-27,,,False,,False,1,Low — ROR only
humira,Ischaemia,45,7.58,2.2700000000000002e-27,,,False,,False,1,Low — ROR only
humira,Spinal instability,101,7.56,3.97e-60,,,False,,False,1,Low — ROR only
jardiance,Perineal infection,44,7.56,3.66e-36,,,False,,False,1,Low — ROR only
humira,Hypermobility syndrome,95,7.53,1.92e-56,,,False,,False,1,Low — ROR only
humira,Nystagmus,29,7.52,7.98e-18,,,False,,False,1,Low — ROR only
humira,Cyclic vomiting syndrome,30,7.49,2.32e-18,,,False,,False,1,Low — ROR only
jardiance,Implantable defibrillator insertion,36,7.47,2.0100000000000002e-29,,,False,,False,1,Low — ROR only
jardiance,Acidosis,174,7.45,1.28e-138,,,False,,False,1,Low — ROR only
humira,Depression suicidal,64,7.44,5.51e-38,,,False,,False,1,Low — ROR only
humira,Brain neoplasm,607,7.44,0.0,,,False,,False,1,Low — ROR only
humira,Blood parathyroid hormone increased,33,7.41,5.72e-20,,,False,,False,1,Low — ROR only
humira,Vaginal flatulence,1485,7.4,0.0,,,False,,False,1,Low — ROR only
humira,Injection site nerve damage,34,7.39,1.67e-20,,,False,,False,1,Low — ROR only
